
Handle=0
SSECTORS 	 ofs=001178E0, sz=1628; 
NODES    	 ofs=00117F40, sz=11368; 
SECTORS  	 ofs=0011ABB0, sz=3822; 
REJECT   	 ofs=0011AED0, sz=2702; 
BLOCKMAP 	 ofs=0011B420, sz=14246; 
MAP26    	 ofs=0011CEC0, sz=0; 
THINGS   	 ofs=0011CEC0, sz=2960; 
LINEDEFS 	 ofs=0011D580, sz=11900; 
SIDEDEFS 	 ofs=0011F160, sz=35520; 
VERTEXES 	 ofs=0011FB50, sz=3272; 
SEGS     	 ofs=00120820, sz=15660; PIC? xs=526,ys=302,xo=303,yo=0
SSECTORS 	 ofs=00123060, sz=1812; 
NODES    	 ofs=00123780, sz=12656; 
SECTORS  	 ofs=001268F0, sz=3276; 
REJECT   	 ofs=00126C50, sz=1985; PIC? xs=23,ys=4,xo=-32252,yo=-4076
BLOCKMAP 	 ofs=00126FE0, sz=8478; 
MAP27    	 ofs=00128300, sz=0; 
THINGS   	 ofs=00128300, sz=4900; 
LINEDEFS 	 ofs=00128D30, sz=13244; 
SIDEDEFS 	 ofs=0012ACA0, sz=42210; 
VERTEXES 	 ofs=0012BC90, sz=3456; 
SEGS     	 ofs=0012CA10, sz=18264; 
SSECTORS 	 ofs=0012F7F0, sz=1936; 
NODES    	 ofs=0012FF80, sz=13524; 
SECTORS  	 ofs=001322C0, sz=4862; 
REJECT   	 ofs=00132690, sz=4372; 
BLOCKMAP 	 ofs=00132E30, sz=10580; 
MAP28    	 ofs=00134580, sz=0; 
THINGS   	 ofs=00134580, sz=2630; 
LINEDEFS 	 ofs=00134BC0, sz=10430; 
SIDEDEFS 	 ofs=00136450, sz=31710; 
VERTEXES 	 ofs=00136E00, sz=2996; PIC? xs=256,ys=64,xo=328,yo=8
SEGS     	 ofs=001379C0, sz=14172; PIC? xs=135,ys=207,xo=-32768,yo=213
SSECTORS 	 ofs=0013B120, sz=1824; 
NODES    	 ofs=0013B840, sz=12740; 
SECTORS  	 ofs=0013EA10, sz=3016; 
REJECT   	 ofs=0013ED40, sz=1682; 
BLOCKMAP 	 ofs=0013F030, sz=11484; 
MAP29    	 ofs=00140760, sz=0; 
THINGS   	 ofs=00140760, sz=2730; 
LINEDEFS 	 ofs=00140E30, sz=16128; 
SIDEDEFS 	 ofs=00143400, sz=49590; 
VERTEXES 	 ofs=00144220, sz=4720; 
SEGS     	 ofs=00145490, sz=22932; PIC? xs=213,ys=214,xo=0,yo=253
SSECTORS 	 ofs=0014AE30, sz=3004; 
NODES    	 ofs=0014B9F0, sz=21000; 
SECTORS  	 ofs=00150C00, sz=5330; 
REJECT   	 ofs=00151090, sz=5254; 
BLOCKMAP 	 ofs=00151B00, sz=13062; 
MAP30    	 ofs=00153760, sz=0; 
THINGS   	 ofs=00153760, sz=950; 
LINEDEFS 	 ofs=00153900, sz=1302; 
SIDEDEFS 	 ofs=00153BF0, sz=3930; 
VERTEXES 	 ofs=00153E10, sz=328; 
SEGS     	 ofs=00153F60, sz=1644; 
SSECTORS 	 ofs=00154350, sz=172; 
NODES    	 ofs=00154400, sz=1176; 
SECTORS  	 ofs=001548A0, sz=572; 
REJECT   	 ofs=00154970, sz=61; 
BLOCKMAP 	 ofs=00154990, sz=3508; 
MAP31    	 ofs=00154F70, sz=0; 
THINGS   	 ofs=00154F70, sz=3170; 
LINEDEFS 	 ofs=00155540, sz=9604; 
SIDEDEFS 	 ofs=00156AB0, sz=23490; 
VERTEXES 	 ofs=001571A0, sz=2540; 
SEGS     	 ofs=00157B90, sz=9768; PIC? xs=526,ys=87,xo=88,yo=0
SSECTORS 	 ofs=00159450, sz=916; 
NODES    	 ofs=001597F0, sz=6384; 
SECTORS  	 ofs=0015B0E0, sz=2080; 
REJECT   	 ofs=0015B210, sz=800; 
BLOCKMAP 	 ofs=0015B3B0, sz=26870; 
MAP32    	 ofs=0015E000, sz=0; 
THINGS   	 ofs=0015E000, sz=1110; 
LINEDEFS 	 ofs=0015E200, sz=3024; 
SIDEDEFS 	 ofs=0015E8D0, sz=8280; 
VERTEXES 	 ofs=0015EAC0, sz=916; 
SEGS     	 ofs=0015EE60, sz=3696; 
SSECTORS 	 ofs=0015F750, sz=364; 
NODES    	 ofs=0015F8C0, sz=2520; 
SECTORS  	 ofs=0015FF00, sz=520; 
REJECT   	 ofs=0015FF90, sz=50; 
BLOCKMAP 	 ofs=0015FFB0, sz=12248; 
TEXTURE1 	 ofs=001612F0, sz=21252; 
PNAMES   	 ofs=00162D70, sz=3756; 
GENMIDI  	 ofs=00163470, sz=11908; 
DMXGUSC  	 ofs=00164530, sz=4876; 
DPPISTOL 	 ofs=00164F00, sz=31; 
DSPISTOL 	 ofs=00164F20, sz=5669; 
DPSHOTGN 	 ofs=00166550, sz=51; 
DSSHOTGN 	 ofs=00166590, sz=9453; 
DPSGCOCK 	 ofs=00168A80, sz=38; 
DSSGCOCK 	 ofs=00168AA0, sz=5906; 
DPSAWUP  	 ofs=001698D0, sz=150; 
DSSAWUP  	 ofs=00169970, sz=16297; 
DPSAWIDL 	 ofs=0016D920, sz=24; 
DSSAWIDL 	 ofs=0016D930, sz=7539; 
DPSAWFUL 	 ofs=0016F6B0, sz=24; 
DSSAWFUL 	 ofs=0016F6C0, sz=18104; 
DPSAWHIT 	 ofs=00173D80, sz=29; 
DSSAWHIT 	 ofs=00173DA0, sz=8018; 
DPRLAUNC 	 ofs=00175D00, sz=55; 
DSRLAUNC 	 ofs=00175D40, sz=15491; 
DPRXPLOD 	 ofs=001799D0, sz=41; 
DSRXPLOD 	 ofs=00179A00, sz=14483; 
DPFIRSHT 	 ofs=0017D2A0, sz=51; 
DSFIRSHT 	 ofs=0017D2E0, sz=14748; 
DPFIRXPL 	 ofs=00180C80, sz=33; 
DSFIRXPL 	 ofs=00180CB0, sz=11701; 
DPPSTART 	 ofs=00183A70, sz=12; 
DSPSTART 	 ofs=00183A80, sz=8236; 
DPPSTOP  	 ofs=00185AB0, sz=11; 
DSPSTOP  	 ofs=00185AC0, sz=6666; 
DPDOROPN 	 ofs=001874D0, sz=55; 
DSDOROPN 	 ofs=00187510, sz=13824; 
DPDORCLS 	 ofs=0018AB10, sz=52; 
DSDORCLS 	 ofs=0018AB50, sz=13890; 
DPSTNMOV 	 ofs=0018E1A0, sz=11; 
DSSTNMOV 	 ofs=0018E1B0, sz=2967; 
DPSWTCHN 	 ofs=0018ED50, sz=12; 
DSSWTCHN 	 ofs=0018ED60, sz=6263; 
DPSWTCHX 	 ofs=001905E0, sz=12; 
DSSWTCHX 	 ofs=001905F0, sz=5411; 
DPPLPAIN 	 ofs=00191B20, sz=39; 
DSPLPAIN 	 ofs=00191B50, sz=15160; 
DPDMPAIN 	 ofs=00193D30, sz=39; 
DSDMPAIN 	 ofs=00193D60, sz=9519; 
DPPOPAIN 	 ofs=00196290, sz=42; 
DSPOPAIN 	 ofs=001962C0, sz=8643; 
DPSLOP   	 ofs=00198490, sz=43; 
DSSLOP   	 ofs=001984C0, sz=11126; 
DPITEMUP 	 ofs=0019B040, sz=57; 
DSITEMUP 	 ofs=0019B060, sz=2271; 
DPWPNUP  	 ofs=0019B3C0, sz=19; 
DSWPNUP  	 ofs=0019B3E0, sz=5883; 
DPOOF    	 ofs=0019C200, sz=14; 
DSOOF    	 ofs=0019C210, sz=3918; 
DPTELEPT 	 ofs=0019D160, sz=82; 
DSTELEPT 	 ofs=0019D1C0, sz=15492; 
DPPOSIT1 	 ofs=001A0E50, sz=63; 
DSPOSIT1 	 ofs=001A0E90, sz=5342; 
DPPOSIT2 	 ofs=001A2370, sz=63; 
DSPOSIT2 	 ofs=001A23B0, sz=11286; 
DPPOSIT3 	 ofs=001A4FD0, sz=63; 
DSPOSIT3 	 ofs=001A5010, sz=11103; 
DPBGSIT1 	 ofs=001A7B70, sz=63; 
DSBGSIT1 	 ofs=001A7BB0, sz=13634; 
DPBGSIT2 	 ofs=001AB100, sz=63; 
DSBGSIT2 	 ofs=001AB140, sz=16083; 
DPSGTSIT 	 ofs=001AF020, sz=63; 
DSSGTSIT 	 ofs=001AF060, sz=11172; 
DPBRSSIT 	 ofs=001B1C10, sz=133; 
DSBRSSIT 	 ofs=001B1CA0, sz=13770; 
DPSGTATK 	 ofs=001B5270, sz=63; 
DSSGTATK 	 ofs=001B52B0, sz=9358; 
DPCLAW   	 ofs=001B7740, sz=63; 
DSCLAW   	 ofs=001B7780, sz=6412; 
DPPLDETH 	 ofs=001B9090, sz=83; 
DSPLDETH 	 ofs=001B90F0, sz=11020; 
DPPDIEHI 	 ofs=001BBC00, sz=14; 
DSPDIEHI 	 ofs=001BBC10, sz=10843; 
DPPODTH1 	 ofs=001BE670, sz=87; 
DSPODTH1 	 ofs=001BE6D0, sz=12971; 
DPPODTH2 	 ofs=001C1980, sz=87; 
DSPODTH2 	 ofs=001C19E0, sz=9342; 
DPPODTH3 	 ofs=001C3E60, sz=87; 
DSPODTH3 	 ofs=001C3EC0, sz=10954; 
DPBGDTH1 	 ofs=001C6990, sz=87; 
DSBGDTH1 	 ofs=001C69F0, sz=7129; 
DPBGDTH2 	 ofs=001C7BA0, sz=87; 
DSBGDTH2 	 ofs=001C7C00, sz=9319; 
DPSGTDTH 	 ofs=001CA070, sz=87; 
DSSGTDTH 	 ofs=001CA0D0, sz=12259; 
DPBRSDTH 	 ofs=001CD0C0, sz=69; 
DSBRSDTH 	 ofs=001CD0F0, sz=11043; 
DPPOSACT 	 ofs=001CFC20, sz=107; 
DSPOSACT 	 ofs=001CFC90, sz=10782; 
DPBGACT  	 ofs=001D26B0, sz=107; 
DSBGACT  	 ofs=001D2720, sz=10032; 
DPDMACT  	 ofs=001D3B80, sz=107; 
DSDMACT  	 ofs=001D3BF0, sz=11857; 
DPNOWAY  	 ofs=001D6A50, sz=38; 
DSNOWAY  	 ofs=001D6A80, sz=3918; 
DPBAREXP 	 ofs=001D79D0, sz=122; 
DSBAREXP 	 ofs=001D7A50, sz=18600; 
DPPUNCH  	 ofs=001DC300, sz=63; 
DSPUNCH  	 ofs=001DC340, sz=2504; 
DPTINK   	 ofs=001DCD10, sz=19; 
DSTINK   	 ofs=001DCD30, sz=205; 
DPBDOPN  	 ofs=001DCE00, sz=55; 
DSBDOPN  	 ofs=001DCE40, sz=4189; 
DPBDCLS  	 ofs=001DDEA0, sz=52; 
DSBDCLS  	 ofs=001DDEE0, sz=4203; 
DPITMBK  	 ofs=001DEF50, sz=19; 
DSITMBK  	 ofs=001DEF70, sz=11183; 
DPGETPOW 	 ofs=001E1B20, sz=14; 
DSGETPOW 	 ofs=001E1B30, sz=7936; 
DPPLASMA 	 ofs=001E3A30, sz=41; 
DSPLASMA 	 ofs=001E3A60, sz=5702; 
DPBFG    	 ofs=001E50B0, sz=186; 
DSBFG    	 ofs=001E5170, sz=18259; 
DPCACSIT 	 ofs=001E98D0, sz=63; 
DSCACSIT 	 ofs=001E9910, sz=17199; 
DPCYBSIT 	 ofs=001EDC40, sz=133; 
DSCYBSIT 	 ofs=001EDCD0, sz=13045; 
DPSPISIT 	 ofs=001F0FD0, sz=133; 
DSSPISIT 	 ofs=001F1060, sz=12461; 
DPSKLATK 	 ofs=001F4110, sz=65; 
DSSKLATK 	 ofs=001F4160, sz=8810; 
DPCACDTH 	 ofs=001F63D0, sz=87; 
DSCACDTH 	 ofs=001F6430, sz=10342; 
DPSKLDTH 	 ofs=001F8CA0, sz=87; 
DSSKLDTH 	 ofs=001F8D00, sz=3918; 
DPCYBDTH 	 ofs=001F9C50, sz=69; 
DSCYBDTH 	 ofs=001F9C80, sz=16589; 
DPSPIDTH 	 ofs=001FDD50, sz=69; 
DSSPIDTH 	 ofs=001FDD80, sz=33880; 
DPHOOF   	 ofs=002061E0, sz=63; 
DSHOOF   	 ofs=00206220, sz=4071; 
DPMETAL  	 ofs=00207210, sz=63; 
DSMETAL  	 ofs=00207250, sz=8086; 
D_RUNNIN 	 ofs=002091F0, sz=30206; 
D_STALKS 	 ofs=0020C190, sz=26149; 
D_COUNTD 	 ofs=0020DB00, sz=14618; 
D_BETWEE 	 ofs=0020ECC0, sz=25026; 
D_DOOM   	 ofs=00210F30, sz=20741; 
D_THE_DA 	 ofs=00213250, sz=18795; 
D_SHAWN  	 ofs=002153C0, sz=21774; 
D_DDTBLU 	 ofs=00216D90, sz=64571; 
D_IN_CIT 	 ofs=0021D740, sz=31354; 
D_DEAD   	 ofs=0021FCA0, sz=21601; 
D_STLKS2 	 ofs=00221AA0, sz=26149; 
D_THEDA2 	 ofs=00223410, sz=18795; 
D_DOOM2  	 ofs=00225580, sz=20741; 
D_DDTBL2 	 ofs=002278A0, sz=64808; 
D_RUNNI2 	 ofs=0022E2D0, sz=30206; 
D_DEAD2  	 ofs=00231270, sz=21601; 
D_STLKS3 	 ofs=00233070, sz=26149; 
D_ROMERO 	 ofs=002349E0, sz=45496; 
D_SHAWN2 	 ofs=00236D50, sz=21774; 
D_MESSAG 	 ofs=00238720, sz=21848; 
D_COUNT2 	 ofs=0023A7A0, sz=14618; 
